url,ISBN : ISBN13,DATE : DATE,STRING : PUBLISHER,STRING : AUTHOR,STRING : BINDING,STRING : TITLE
book/www.amazon.com/0001049305.html,978-0001049307,"October 23, 1995","Harpercollins Audio; Abridged edition (October 23, 1995)",Eric Newby,Audio Cassette,Love and War in the Apennines
book/www.amazon.com/0001049313.html,978-0001049314,"October 23, 1995","Harpercollins Audio; Abridged edition (October 23, 1995)",Eric Newby,Audio Cassette,Short Walk in the Hindu Kush
book/www.amazon.com/0001049321.html,978-0001049321,"August 21, 1995","Harper Collins Audio (August 21, 1995)",William Wordsworth,Audio Cassette,Poetry of Wordsworth
book/www.amazon.com/0001049356.html,978-0001049352,January 2000,Harpercollins Pub Ltd; Abridged edition (January 2000),Harriet Beecher Stowe,Reading level:,Uncle Tom's Cabin
book/www.amazon.com/0001049410.html,978-0001049413,"July 24, 1995","Harper Collins Audio; Abridged edition (July 24, 1995)",Elizabeth Buchan,Audio Cassette,Consider the Lily
book/www.amazon.com/0001049429.html,978-0001049420,October 1995,Harpercollins Audio; Abridged edition (October 1995),Nigel Mansell,Hardcover,Nigel Mansell
book/www.amazon.com/0001049682.html,978-0001049680,"April 22, 1996","Harpercollins Audio; Abridged edition (April 22, 1996)",Barbara Erskine,Audio Cassette,House of Echoes
book/www.amazon.com/0001049690.html,978-0001049697,"September 1, 1995","HarperCollins UK; Abridged edition (September 1, 1995)",Joseph Conrad,Audio Cassette,Victory (HarperCollinsAudioBooks)
book/www.amazon.com/0001049852.html,978-0001049857,,,Robert Ludlum,Audio Cassette,Apocalypse Watch
book/www.amazon.com/0001049895.html,978-0001049895,December 1995,Harpercollins Audio; Abridged edition (December 1995),Charles Grant,Hardcover,X-Files: Ground Zero
book/www.amazon.com/0001050044.html,978-0001050044,December 1995,Harpercollins Audio; Abridged edition (December 1995),Fay Weldon,Audio Cassette,Wicked Women
book/www.amazon.com/0001050052.html,978-0001050051,,HarperCollins (1995),Ruth Rendell~George Baker,Audio Cassette,A New Lease of Death
book/www.amazon.com/0001050060.html,978-0001050068,"December 4, 1995","Harpercollins Audio; Abridged edition (December 4, 1995)",Bernard Cornwell,Audio Cassette,Rebel (Starbuck Chronicles)
book/www.amazon.com/0001050079.html,978-0001050075,"December 4, 1995","Harpercollins Audio; Abridged edition (December 4, 1995)",Bernard Cornwell,Audio Cassette,Copperhead (Starbuck Chronicles)
book/www.amazon.com/0001050087.html,978-0001050082,"January 22, 1996","Harpercollins Audio; Abridged edition (January 22, 1996)",Bernard Cornwell,Hardcover,Battle Flag (Starbuck Chronicles)
book/www.amazon.com/0001050095.html,978-0001050099,"April 22, 1996","Harpercollins Audio; Abridged edition (April 22, 1996)",Ruth Rendell,Audio Cassette,Murder Being Once Done
book/www.amazon.com/0001050109.html,978-0001050105,,HarperCollins AudioBooks (1996),Ruth Rendell,Audio Cassette,Shake Hands for Ever
book/www.amazon.com/0001050117.html,978-0001050112,,HarperCollins AudioBooks (1996),Ruth Rendell,Audio Cassette,Vanity Dies Hard
book/www.amazon.com/0001050133.html,978-0001050136,,,these sellers,Audio Cassette,The Tree of Hands
book/www.amazon.com/0001050184.html,978-0001050181,January 2000,Trafalgar Square Computer & Audio; Abridged edition (January 2000),Jeffrey Archer,Audio Cassette,"Not a Penny More, Not a Penny Less"
book/www.amazon.com/0001050192.html,978-0001050198,January 2000,Trafalgar Square Computer & Audio; Abridged edition (January 2000),Jeffrey Archer,Audio Cassette,Shall We Tell the President?: 6 Days and 13 Hours to Go Before
book/www.amazon.com/0001050206.html,978-0001050204,January 2000,Trafalgar Square Computer & Audio; Unabridged edition (January 2000),Jeffrey Archer,Audio Cassette,A Twist in the Tale: A Perfect Murder and Other Stories (v. 1)
book/www.amazon.com/0001050214.html,978-0001050211,January 2000,Trafalgar Square Computer & Audio; Unabridged edition (January 2000),Jeffrey Archer,Audio Cassette,A Twist in the Tale: The Loophole and Other Stories
book/www.amazon.com/0001050230.html,978-0001050235,February 1996,Harper Collins Audio; Unabridged edition (February 1996),William Shakespeare,Audio Cassette,Love's Labour's Lost
book/www.amazon.com/0001050249.html,978-0001050242,April 1996,Harper Collins Audio; Unabridged edition (April 1996),William Shakespeare,Hardcover,Two Gentlemen of Verona
book/www.amazon.com/0001050427.html,978-0001050426,,HarperCollins (1996),Robert Goddard,Audio Cassette,Out of the Sun
book/www.amazon.com/0001050451.html,978-0001050457,January 1996,Harpercollins Audio; Unabridged edition (January 1996),Elizabeth Smart,Publisher:,By Grand Central Station I Sat Down and Wept
book/www.amazon.com/0001050478.html,978-0001050471,"April 22, 1996","Harper Collins Audio; Unabridged edition (April 22, 1996)",John Webster,Audio Cassette,Duchess of Malfi
book/www.amazon.com/0001050486.html,978-0001050488,,,,Audio Cassette,John Bull's Other Island
book/www.amazon.com/0001050508.html,978-0001050501,"July 22, 1996","Harpercollins Audio; Unabridged edition (July 22, 1996)",William Shakespeare,Hardcover,King Henry IV: Pt. 2
book/www.amazon.com/0001050524.html,978-0001050525,November 1995,Harpercollins Audio; Abridged edition (November 1995),J G Ballard,Hardcover,Empire of the Sun
book/www.amazon.com/0001050532.html,978-0001050532,"November 27, 1995","Harper Collins Audio; Abridged edition (November 27, 1995)",Simon Callow,Audio Cassette,Orson Welles
book/www.amazon.com/0001050540.html,978-0001050549,"November 27, 1995","Harpercollins Audio; Abridged edition (November 27, 1995)",Frederick Forsyth,Audio Cassette,Fist of God
book/www.amazon.com/0001050737.html,978-0001050730,"October 9, 1995","Harpercollins Audio; Abridged edition (October 9, 1995)",Tom Sharpe,Audio Cassette,Grantchester Grind
book/www.amazon.com/0001050745.html,978-0001050747,"January 22, 1996","Harpercollins Audio; Abridged edition (January 22, 1996)",Tom Sharpe,Audio Cassette,Riotous Assembly
book/www.amazon.com/0001050753.html,978-0001050754,"February 19, 1996","Harper Collins Audio; Abridged edition (February 19, 1996)",Tom Sharpe,Audio Cassette,Indecent Exposure
book/www.amazon.com/0001050826.html,978-0001050822,December 1995,Harpercollins Audio; Abridged edition (December 1995),Vonda N McIntyre,Hardcover,Star Wars: the Crystal Star
book/www.amazon.com/0001050850.html,978-0001050853,"February 19, 1996","Harper Collins Audio; Abridged edition (February 19, 1996)",Kevin J Anderson,Hardcover,Star Wars Jedi Academy Trilogy 2: Dark Apprentice
book/www.amazon.com/0001050869.html,978-0001050860,"March 18, 1996","Harper Collins Audio; Abridged edition (March 18, 1996)",K Anderson,Audio Cassette,Star Wars (Star Wars Volume 3)
book/www.amazon.com/0001050877.html,978-0001050877,"May 20, 1996","Harpercollins Audio; Abridged edition (May 20, 1996)",Roger MacBride Allen,Audio Cassette,Star Wars
book/www.amazon.com/0001050893.html,978-0001050891,July 1996,Harpercollins Audio; Abridged edition (July 1996),Roger MacBride Allen,Hardcover,Star Wars Corellian Trilogy 3: Showdown at Centerpoint
book/www.amazon.com/0001050923.html,978-0001050921,September 1996,Harpercollins Audio; Unabridged edition (September 1996),Barbara Hambly,Hardcover,Star Wars: Nightlily - the Lover's Tale
book/www.amazon.com/0001052012.html,978-0001052017,"May 1, 1996","HarperCollins UK; Abridged edition (May 1, 1996)",Thomas Hardy,Audio Cassette,The Woodlanders (HarperCollinsAudioBooks)
book/www.amazon.com/0001052020.html,978-0001052024,September 1999,Harpercollins Pub Ltd; Abridged edition (September 1999),Joseph Conrad,Audio Cassette,Lord Jim
book/www.amazon.com/0001052039.html,978-0001052031,"June 17, 1996","Harper Collins Audio; Abridged edition (June 17, 1996)",Michael Dibdin,Audio Cassette,Dark Spectre
book/www.amazon.com/0001052063.html,978-0001052062,"February 19, 1996","Harper Collins Audio; Abridged edition (February 19, 1996)",Reginald Hill,Audio Cassette,Advancement of Learning
book/www.amazon.com/0001052071.html,978-0001052079,"March 18, 1996","Harpercollins Audio; Abridged edition (March 18, 1996)",David Guterson,Audio Cassette,Snow Falling on Cedars Hca 401
book/www.amazon.com/0001052101.html,978-0001052109,,Harper Audio (1996),Barbara Bradford,Audio Cassette,Her Own Rules
book/www.amazon.com/0001052136.html,978-0001052130,"July 1, 1996","HarperCollins UK; Abridged edition (July 1, 1996)",Marcel Proust,Audio Cassette:,Swann's Way (HarperCollinsAudioBooks)
book/www.amazon.com/0001052144.html,978-0001052147,"May 20, 1996","Harper Collins Audio; Unabridged edition (May 20, 1996)",Paul Merton,Audio Cassette,My Struggle
book/www.amazon.com/0001052152.html,978-0001052154,1997,Harper Collins AudioBooks (1997),Jeffrey Archer,Audio Cassette,The Fourth Estate [audio cassette]
book/www.amazon.com/0001052160.html,978-0001052161,,HarperCollins Publishers Ltd (1997),Michael Dobbs~Tim Pigott-Smith,Audio Cassette,Goodfellowe MP
book/www.amazon.com/0001052195.html,978-0001052192,"September 16, 1996","Harpercollins Audio; Unabridged edition (September 16, 1996)",Michael Parkinson,Audio Cassette,Sporting Profiles
book/www.amazon.com/0001052217.html,978-0001052215,,,these sellers,Audio Cassette,A Needle for the Devil and Other Stories
book/www.amazon.com/0002200082.html,978-0002200080,,COLLINS (1998),JOHN A. BURTON,Paperback:,WILD ANIMALS (COLLINS WILD GUIDE S.)
book/www.amazon.com/0002200104.html,978-0002200103,,Harpercollins Pub Ltd (February 1999),John Still,Paperback:,Butterflies & Moths of Britain and Europe (Collins Wild Guide)
book/www.amazon.com/0002200112.html,978-0002200110,,"Collins (July 6, 1998)",John Gooders,Paperback:,Birds of Britain and Europe (Collins Wildlife Trust Guides)
book/www.amazon.com/0002200120.html,978-0002200127,September 1999,Harpercollins Pub Ltd (September 1999),Regis Courtecuisse,Paperback:,Mushrooms of Britain & Europe (Collins Wild Guide)
book/www.amazon.com/0002200147.html,978-0002200141,June 1998,HarperCollins (UK) (June 1998),Storm Dunlop,Paperback:,Collins Wildlife Trust Guide: Night Sky (Collins Wildlife Trusts Guide)
book/www.amazon.com/0002200171.html,978-0002200172,February 1999,Harpercollins Pub Ltd; 2nd edition. edition (February 1999),Christopher Grey-Wilson,Paperback:,Alpine Flowers: Of Britain and Europe (Collins Pocket Guide)
book/www.amazon.com/0002200252.html,978-0002200257,February 1999,Harpercollins Pub Ltd (February 1999),Regis Courtecuisse,Hardcover:,Mushrooms & Toadstools of Britain and Europe (Collins Field Guide)
book/www.amazon.com/0002200295.html,978-0002200295,"June 1, 1995","HarperCollins UK (June 1, 1995)",H Hofmann,Paperback:,Butterflies & Moths of Britain and Europe (Collins Nature Guides)
book/www.amazon.com/0002200430.html,978-0002200431,,HarperCollins Publishers Canad; New Ed edition (1997),Dalai Lama XIV,Paperback:,Way to Freedom
book/www.amazon.com/0002200597.html,978-0002200592,June 1998,Harpercollins Pub Ltd; illustrated edition edition (June 1998),M. Chinery,Paperback:,Butterflies of Britain & Europe (Collins Wildlife Trusts Guide)
book/www.amazon.com/0002200627.html,978-0002200622,"April 1, 1996","HarperCollins UK; 5 edition (April 1, 1996)",Richard Fitter,Paperback:,Wild Flowers of Britain & Northern Europe (Collins Pocket Guide)
book/www.amazon.com/0002200635.html,978-0002200639,,"Collins; 2Rev Ed edition (July 6, 1998)",Keith M. Harris,Hardcover:,"Pests, Diseases and Disorders of Garden Plants (Collins Photoguide)"
book/www.amazon.com/0002200651.html,978-0002200653,"April 1, 2001","Thorsons; 1st edition (April 1, 2001)",Gael Lindenfield,Audio Cassette,Self-Esteem Simple Steps to Develop Self-Worth and Heal Emotional Wounds (Audio)
book/www.amazon.com/0002200694.html,978-0002200691,January 1997,HarperCollins Publishers (January 1997),Dominic Couzens,Paperback:,Wings Guide to British Birds (Collins)
book/www.amazon.com/0002200740.html,978-0002200745,"October 4, 1999","Harpercollins (October 4, 1999)",David S Ingram,Hardcover:,Collins New Naturalist - Plant Disease Hb
book/www.amazon.com/0002200775.html,978-0002200776,February 1999,Harpercollins Pub Ltd (February 1999),Martin R. De LA Pena,Paperback:,Birds of Southern South America and Antarctica (Collins Illustrated Checklist)
book/www.amazon.com/0002200791.html,978-0002200790,1999,HarperCollins; First Edition edition (1999),David. Cabot,Hardcover:,THE NEW NATURALIST: IRELAND.
book/www.amazon.com/0002200805.html,978-0002200806,"May 18, 2000","Harpercollins Pub Ltd (May 18, 2000)",David Cabot,Paperback:,"The New Naturalist, Ireland"
book/www.amazon.com/0002200813.html,978-0002200813,March 2000,Harpercollins Pub Ltd (March 2000),Oliver Gilbert,Hardcover:,Lichens: The New Naturalist
book/www.amazon.com/0002200821.html,978-0002200820,March 2000,Harpercollins Pub Ltd (March 2000),Oliver Gilbert,Paperback:,Lichens (The New Naturalist : a Survey of the British Natural History)
book/www.amazon.com/0002201003.html,978-0002201001,January 1999,Harpercollins Pub Ltd (January 1999),Liz ed Bourne,Paperback:,Birds in Winter (Collins Watch Guide)
book/www.amazon.com/0002201046.html,978-0002201049,,"Collins (September 1, 1997)",Leighton. Taylor,Hardcover:,Sharks and Rays (Nature Company Guides)
book/www.amazon.com/0002201070.html,978-0002201070,November 2000,Harpercollins Pub Ltd; illustrated edition edition (November 2000),Christopher Grey-Wilson,Paperback:,Collins How to Identify Wild Flowers
book/www.amazon.com/0002201089.html,978-0002201087,,Collins (January 1998),Dwight Holing,Hardcover:,Nature Journeys (Nature Company Guides)
book/www.amazon.com/0002201097.html,978-0002201094,,"Collins (November 2, 1998)",Jack Griggs,Paperback:,Birds of North America (Collins Pocket Guide)
book/www.amazon.com/0002201100.html,978-0002201100,June 1999,Harpercollins Pub Ltd; Revised edition (June 1999),Peter Markham Scott,Paperback:,Wildfowl of the World (Collins Illustrated Checklist)
book/www.amazon.com/0002201119.html,978-0002201117,,"Collins (June 30, 1997)",these sellers,Hardcover:,Good News Bible (Bible Gnb)
book/www.amazon.com/0002201127.html,978-0002201124,,"Collins (June 30, 1997)",these sellers,Hardcover:,Bible: Good News Bible with Concordance (Bible Gnb)
book/www.amazon.com/0002201143.html,978-0002201148,,"Collins; Reissue edition (May 7, 2002)",Dennis Skinner,Paperback:,Collins Rambler's Guide: South Downs (Ramblers Guides)
book/www.amazon.com/0002201178.html,978-0002201179,February 2000,Trafalgar Square Publishing (February 2000),Ber Van Perlo,Paperback:,Birds of South Africa: Collins Illustrated Checklist
book/www.amazon.com/0002201194.html,978-0002201193,,"HarperCollins UK (November 1, 2001)",HarperCollins UK,Hardcover:,NRSV Holy Bible: Cross Reference Edition with the Apocrypha/Dueterocanonical Books (Bible Nrsv)
book/www.amazon.com/0002201208.html,978-0002201209,,"Harpercollins Bibles; Cross-reference Ed edition (March 2, 1998)",these sellers,Paperback:,Nrsv Cross Reference Paperback (Bible Nrsv)
book/www.amazon.com/0002201224.html,978-0002201223,June 1998,Harpercollins Pub Ltd (June 1998),Geoff Sample,Hardcover:,Bird Call Identification (Collins Field Guide)
book/www.amazon.com/0002201232.html,978-0002201230,February 2000,Trafalgar Square Publishing (February 2000),Richard Lewington,Paperback:,How to Identify Butterflies (Britain and Europe)
book/www.amazon.com/0002201259.html,978-0002201254,,Harpercollins Pub Ltd; 2nd edition edition (June 1998),Colin Harrison,Hardcover:,"Bird Nests, Eggs and Nestlings of Britain & Europe: With North Africa and the Middle East (Collins Field Guide)"
book/www.amazon.com/0002201283.html,978-0002201285,"October 5, 1998","Harpercollins (October 5, 1998)",John O'Byrne,Hardcover:,Spacewatching
book/www.amazon.com/0002201321.html,978-0002201322,,"Collins; New Ed edition (November 2, 1998)",Graham Pizzey,Paperback:,Birds of Australia (Collins Field Guide)
book/www.amazon.com/0002201607.html,978-0002201605,,"Collins (June 11, 1999)",these sellers,Hardcover:,Bible: Good News Bible - Newcomer Bible (Bible Gnb)
book/www.amazon.com/0002201615.html,978-0002201612,"February 7, 2000","Collins (February 7, 2000)",Paul Sterry,Paperback:,Complete Mediterranean Wildlife: Photoguide
book/www.amazon.com/0002201658.html,978-0002201650,,"Collins; Special Ed edition (October 4, 1999)",these sellers,Hardcover:,Bible: Good News Bible for Scotland (Bible Gnb)
book/www.amazon.com/0002201682.html,978-0002201681,"April 1, 2000","HarperCollins UK (April 1, 2000)",Stephen Moss,Hardcover:,Gardening for Birds: How to Help Birds Make the Most of Your Garden
book/www.amazon.com/0002201712.html,978-0002201711,"January 1, 2000","HarperCollins UK; illustrated edition edition (January 1, 2000)",HarperCollins UK,Hardcover:,A Moment in Time: The Millennium Celebrated Around the Globe
book/www.amazon.com/0002201887.html,978-0002201889,,"Collins (July 3, 2000)",these sellers,Hardcover:,The Bible: Contemporary English Version - Popular Classic (Bible Cev)
book/www.amazon.com/0002201895.html,978-0002201896,"May 2, 2000","Harper Collins (May 2, 2000)",these sellers,Hardcover:,Kjv Pocket Imit Lthr Wte Confirm Bible (Bible Akjv)
book/www.amazon.com/0002201909.html,978-0002201902,,"Collins; New Ed edition (May 2, 2000)",these sellers,Paperback:,Bible: Good News Bible - Popular Newcomer Bible (Bible Gnb)
book/www.amazon.com/0002201925.html,978-0002201926,"May 2, 2000","Harper Collins (May 2, 2000)",these sellers,Hardcover:,Holy Bible (Bible Akjv)
book/www.amazon.com/0002201933.html,978-0002201933,"May 2, 2000","Harper Collins (May 2, 2000)",these sellers,Hardcover:,King James Version Pocket Imitation Leather White ... (Bible Akjv)
book/www.amazon.com/0002201941.html,978-0002201940,,"Collins; General Ed edition (April 3, 2000)",these sellers,Hardcover:,Bible: Good News Bible (Bible Gnb)
book/www.amazon.com/0002201976.html,978-0002201971,,"Collins (July 3, 2000)",these sellers,Hardcover:,The Bible: Contemporary English Version - Popular Modern (Bible Cev)
book/www.amazon.com/0004140354.html,978-0004140353,"May 5, 1998","Harpercollins; Revised edition (May 5, 1998)",Albert Jackson,Hardcover:,Collins Care & Repair of Period Houses Hb
book/www.amazon.com/0004140540.html,978-0004140544,,"HarperCollins Illustrated; TV Tie in Ed edition (September 6, 1999)",Antony Wild,Hardcover:,The East India Company: Trade and Conquest from 1600
